,notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
1969,4/27/2018,Plant Unit Closings,"Blissworld, LLC (Bliss 49 Spa)","541 Lexington Avenue New York, NY 10022",New York County,(305) 215-9284,"Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",29,148,The,Economic,"UNITE HERE, Local 6, affiliated with the New York  Hotel & Motel Trades Council, AFL-CIO",Plant Closing
1970,6/19/2018,Plant Closings and Layoffs,"Capital One, N.A.- Nassau Central, Suffolk North, and Nassau South Market",Various Long Island sites,Nassau County,(804) 814-6380,Bank,113,,Layoffs,Economic,The employees are not represented by a union.,Plant Closings and Layoffs
1971,6/19/2018,Plant Closings and Layoffs,"Capital One, N.A.- Boroughs Central and Manhattan South Market",Various New York City Sites,Kings County,(804) 814-6380,Bank,58,,Layoffs,Economic,The employees are not represented by a union.,Plant Closings and Layoffs
1972,6/25/2018,Plant Closing,Sterling National Bank (Great Neck Financial Center),"98 Cuttermill Road Great Neck, NY 11021",Nassau County,(516) 327-7624,Financial Institution,1,3,9/25/2018,Acquisition of Astoria Bank by Sterling National Bank,The affected worker is not represented by a union.,Plant Closing
1973,6/27/2018,Plant Layoff,Exelon,"500 Summit Lake Drive, Suite 1008 Valhalla, NY 10595",Westchester County,(410) 470-4071,Energy provider,25,52,9/24/2018,Centralization of functions and consolidation of systems.,The employees are not represented by a union.,Plant Layoff
1974,3/9/2018,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution functions.,162,1423,This,Economic,"Local 406, Graphic Communications Conference,  International Brotherhood of Teamsters",Plant Unit Closing
1975,3/22/2018,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,4,1423,This,Economic,"Local 406, Graphic Communications Conference,  International Brotherhood of Teamsters",Plant Unit Closing
1976,3/16/2018,Plant Closing,Gannett Publishing Services,"10 Gannett Drive Johnson City, NY 13790",Broome County,(856) 486-2591,Commercial Printing,93,93,The,Economic,The affected  workers are not represented by a union.,Plant Closing
1977,6/27/2018,Plant Closing,Channel One (at Houghton Mifflin Harcourt Publishing Company),"132 W. 31sl Street, Floor 14 New York, NY 10001",New York County,(617) 351-3170,Global learning company,28,28,Terminations,Economic,The employees are not represented by a union.,Plant Closing
1978,6/25/2018,Plant Closing,Seneca Foods Corporation,"3709 Mill Street Marion, NY 14505",Wayne County,(315) 926-8125,Food processing,45,45,The,Economic,The employees are not represented by a union.,Plant Closing
1979,3/30/2018,Possible Plant Unit Closing,"CAMBA, Inc.","LTW at Brooklyn Academy High  School 832 Marcy Avenue Brooklyn, NY 11216",New York County,(718) 287-2600  Ext,Learning to Work programs.,6,34,6/30/2018,"Possible contract loss. 
CAMBA, Inc. received funding and  new contracts from the City of New York Department of Education to continue the  LTW Programs. Therefore, no layoffs will occur.",The affected  workers are not represented by a union.,Possible  Plant Unit Closing
1980,12/29/2017,Plant Unit Closing,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)","1 Bulova Avenue Woodside, NY 11377",Queens County,(212) 497-9795,Warehousing/Distribution and after sales service,59,,Employment,Economic,Independent Production Maintenance and Service Employees Union,Plant Unit Closing
1981,8/21/2017,Plant Closing,B&H Foto and Electronics Corp. (Navy Yard Facility),"63 Flushing Avenue, Bldg. 64 Brooklyn, NY 11205",Kings County,(212) 239-7500,Photo and electronics,150,150,Separations,"Relocation to Florence, New Jersey.",United Steelworkers District 4,Plant Closing
1982,6/15/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street, Rouses Point Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),1,39,The,Economic,The employee is not represented by a union.,Plant Closing
1983,6/20/2018,Plant Closing,DAL Global Services (for Copa Airlines at JFK Int'l Airport),"John F. Kennedy International Airport Jamaica, NY 11430",Queens County,(404) 773-8746,Baggage Handling,101,101,8/13/2018,Loss of contract for Copa Airlines,The employees are not represented by a union.,Plant Closing
1984,6/25/2018,Plant Closing,Aptos Inc.,"15 Governor Drive Newburgh, NY 12550",Orange County,(845) 926-4226,Software developers,42,91,This,Economic,The employees are not represented by a union.,Plant Closing
1985,3/26/2018,Plant Unit Closing,Catholic Guardian Services,"(Long Island Program for Persons with Developmental Disabilities) 902 Melville Estates Court Melville, NY 11747",Suffolk County,(212) 371-1000 Ext,Programs for persons with development disabilities,12,99,Separations,Transition of services to Care Coordination Organizations Services,The affected workers are not represented by a union.,Plant Unit Closing
1986,3/16/2018,Plant Closing,"CareConnect Insurance Company, Inc.","2200 Northern Boulevard East Hills, NY 11548",Nassau County,(516) 405-7925,Health insurance market,26,78,Phase,Economic,The employees are not represented by a union.,Plant Closing
1987,6/14/2018,Plant Layoff,"Metro Athletic Medicine and Fitness, P.C.","506 Sixth Street Brooklyn, NY 11215",Brooklyn County,(201) 214-5256,Healthcare – Physical Therapy,54,,Terminations,Loss of the services contract,The employees are not represented by a union.,Plant Layoff
1988,6/12/2018,Plant Closing,"Restaurant Associates - Compass Group, USA, Inc. (at Federal Reserve Bank of New York)","33 Liberty Street New York, NY 10045",New York County,(212) 720-6476,Food Services Provider,53,65,7/31/2018,Loss of contract to provide food services at the Federal Reserve Bank of New York.,"UNITE HERE, Local 100",Plant Closing
1989,6/1/2018,Plant Unit Closing,Cardinal McCloskey Community Services - Head Start Programs,"560 Concord Avenue Bronx, NY 10455",Bronx County,(914) 997-8000 Ext,Pre-School,,202,7/1/2018,"Loss of contract with the U.S. Department of Health and Human Services, Administration for Children and Families","Community and Social Agency Employees Union, District 1707, AFSCME, AFL-CIO, District 1707",Plant Unit Closing
1990,6/1/2018,Plant Unit Closing,"Center for Family Support, Inc.","(Fiscal Intermediary Program) 333 7th Avenue New York, NY 10001",New York County,(212) 629-7939 Ext,Providing support and assistance to individuals with developmental and related disabilities and to the family members who care for them.,80,80,9/9/2018,Transitioning services to another entity.,The employees are not represented by a union.,Plant Unit Closing
1991,6/4/2018,Plant Closing,Chevy's (RM HQ LLC),"259 West 42nd St. New York, NY 10036",New York County,(562) 346-1215,Restaurant,134,134,9/2/2018,Economic,The employees are not represented by a union.,Plant Closing
1992,6/8/2018,Plant Closing,New York Yankees Steakhouse (Manhattan),"7 W 51stStreet New York, NY 10019",New York County,(954) 797-5455,Restaurant,75,75,September,Economic,The employees are not represented by a union.,Plant Closing
1993,2/28/2018,Temporary maintenace furlough/possible plant closing,"Carthage Specialty Paperboard, Inc.","30 Champion Street Carthage, NY 13619",Jefferson County,(315) 493-5514,Manufacturer of recyled paperboard,77,77,Employees,Economic,"United Steel Workers (USW) International Union, Local 4-0276",Temporary maintenace furlough/possible plant closing
1994,6/6/2018,Plant Layoff,Sterling National Bank,"One Jericho Plaza Jericho, NY 11753",Nassau County,(516) 327-7624,Financial Institution,7,187,9/28/2018,Acquisition of Astoria Bank by Sterling National Bank,The employees are not represented by a union,Plant Layoff
1995,5/31/2018,Plant Closing,Kmart Store Unit # 03861 (Kmart Corporation),"1000 Montauk Highway West Babylon, NY 11704",Suffolk County,(630) 364-9036,Department Store,85,85,Separations,Economic,The employees are not represented by a union.,Plant Closing
1996,5/31/2018,Plant Closing,Kmart Store Unit # 09418 (Kmart Corporation),"25301 Rockaway Blvd Rosedale, NY 11422",Queens County,(630) 364-9036,Department Store,99,99,Separations,Economic,The employees are not represented by a union.,Plant Closing
1997,5/31/2018,Plant Unit Closing,Wells Fargo (Retail Fulfillment Unit),"179 Sully Trail Pittsford, NY 14534",Monroe County,(980) 201-7298,Bank,28,48,Separation,Economic,The employees are not represented by a union.,Plant Unit Closing
1998,6/4/2018,Plant Layoff,"Van Trans, LLC & Attendant, LLC","670 Hillside Road Pelham Manor, NY 10803",Westchester County,(516) 349-8200 Ext,Transportation,333,333,Separations,Contract loss with the NYC Department of Education Office of Pupil Transportation,"United Employees Transportation Union, c/o International Union of Journeymen and Allied Trades",Plant Layoff
1999,6/1/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street, Rouses Point Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),5,40,The,Economic,Local 95c ICWU/UFCW,Plant Closing
2000,5/30/2018,Plant Unit Closing,"Jewish Board of Family & Children's Services, Inc.","(Hawthorne Cedar Knolls Residential Treatment Center) 226 Linda Avenue Hawthorne, NY 10532",Westchester County,(212) 632-4781,"Hawthorne Cedar Knolls is overseen by the state Office of Children and Family Services and provides mental health, social and therapeutic services to troubled youths who typically have behavior issues.",107,107,All,Economic,"Community and Social Agency Employees, District Council 1707, AFSCME",Plant Unit Closing
2001,5/30/2018,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-7080,Photographic equipment and Supplies,1,,8/27/2018,Economic,The employee is not represented by a union.,Plant Layoff
2002,5/31/2018,Plant Closing,St. John Villa Academy,"57 Cleveland Place Staten Island, NY 10305",Richmond County,(718) 447-4150 Ext,School,71,71,The,Economic,Federation of Catholic Teachers,Plant Closing
2003,2/6/2018,Temporary Plant Closing,"""21"" Club","21 W. 52nd Street New York, NY 10019",New York County,(212) 359-7228,Restaurant,71,154,1/3/2018,Weather related,"UNITE HERE, Local 100",Temporary Plant Closing
2004,5/31/2018,Plant Closing,Lifeline Center for Child Development,"80-09 Winchester Boulevard Queens, NY 11427",Queens County,(718) 740-4300,Preschool program,41,41,8/31/2018,Economic,The employees are not represented by a union.,Plant Closing
2005,12/29/2017,Plant Unit Closing,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)","1 Bulova Avenue Woodside, NY 11377",Queens County,(212) 497-9795,Warehousing/Distribution and after sales service,59,,Employment,Economic,Independent Production Maintenance and Service Employees Union,Plant Unit Closing
2006,5/25/2018,Plant Unit Closing,"Volunteers of America-Greater New York, Inc.","(Residential Services Program) 260 Christopher Lane, Suite 3F States Island, NY 10314",Richmond County,(212) 496-4396,Provides staff support and supervision to adults with all ranges of intellectual/developmental disablilites,91,91,7/31/2018,Economic,The employees are not represented by a union.,Plant Unit Closing
2007,5/31/2018,Plant Closing,"Sears, Roebuck and Co.","(Full Line Store Unit #01353) 3649 Erie Blvd E Syracuse, NY 13214",Syracuse County,(724) 601-9321,Retail Store and automotive center,38,38,Separations,Economic,The employees are not represented by a union.,Plant Closing
2008,6/4/2018,Plant Layoff,"Van Trans, LLC & Attendant, LLC","670 Hillside Road Pelham Manor, NY 10803",Westchester County,(516) 349-8200 Ext,Transportation,333,333,Separations,Contract loss with the NYC Department of Education Office of Pupil Transportation,"United Employees Transportation Union, c/o International Union of Journeymen and Allied Trades",Plant Layoff
2009,5/29/2018,Plant Closing,"Tahari ASL, LLC","1114 Avenue of the Americas, 8th Floor New York, NY 10036",New York County,(973) 671-6350,Provides online clothing,137,137,8/31/2018,Economic,"NY Metropolitan Regional Joint Board, WU",Plant Closing
2010,3/15/2018,Plant Closing,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","117 Old Country Road Carle Place, NY 11514",Nassau County,(973) 617-5293,"Hobby, Toy and Game Store",70,70,The,Economic,The affected workers are not represented by a union.,Plant Closing
2011,3/15/2018,Plant Closing,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","610 Exterior Street Bronx, NY 10451",Bronx County,(973) 617-5293,"Hobby, Toy and Game Store",69,69,The,Economic,The affected workers are not represented by a union.,Plant Closing
2012,3/15/2018,Plant Closing,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","8973-95 Bay Parkway Brooklyn, NY 11214",Kings County,(973) 617-5293,"Hobby, Toy and Game Store",108,108,The,Economic,The affected workers are not represented by a union.,Plant Closing
2013,3/15/2018,Plant Closing,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","300 West Sunrise Highway Valley Stream, NY 11581",Nassau County,(973) 617-5293,"Hobby, Toy and Game Store",70,70,The,Economic,The employees are not represented by a union.,Plant Closing
2014,5/11/2018,Plant Closing,Munchery,"268 3rd Street Brooklyn, NY 11215",Kings County,(415) 967-7633,Online food ordering and meal delivery service,,80,Separations,Economic,The employees are not represented by a union.,Plant Closing
2015,12/29/2017,Plant Unit Closing,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)","1 Bulova Avenue Woodside, NY 11377",Queens County,(212) 497-9795,Warehousing/Distribution and after sales service,59,,Nineteen,Economic,Independent Production Maintenance and Service Employees Union,Plant Unit Closing
2016,5/31/2018,Plant Closing,"Millennium Medical Staffing, Inc.","2488 Grand Concourse Bronx, NY 10458",Bronx County,(347) 862-2805,Home health care service,135,135,Separations,"Acquired by the Health Acquisition Corp., D/B/A Allen Health Care Services",The employees are not represented by a union.,PlantClosing
2017,5/31/2018,Plant Closing,"First Care of New York, Inc.","2488 Grand Concourse Bronx, NY 10458",Bronx County,(347) 862-2805,Home health care service,851,851,Separations,"Acquired by the Health Acquisition Corp., D/B/A Allen Health Care Services",The employees are not represented by a union.,Plant Closing
2018,5/31/2018,Plant Closing,St. John Villa Academy,"57 Cleveland Place Staten Island, NY 10305",Richmond County,(718) 447-4150 Ext,School,57,57,The,Economic,Federation of Catholic Teachers,Plant Closing
2019,5/29/2018,Plant Closing,Sterling National Bank-Forest Hills Financial Center,"108-01 Queens Blvd Forest Hills, NY 11375",Queens County,(516) 327-7624,Financial Institution,4,4,The,Acquisition of Astoria Bank by Sterling National Bank,The affected workers are not represented by a union.,Plant Closing
2020,5/24/2018,Plant Closing,"Premier Aviation Overhaul Center, Ltd.","394 Hangar Road Rome, NY 13441",Oneida County,(315) 534-8368,Premier Aviation performs ground aircraft maintenance and refinishing services to the North American market.,127,127,8/22/2018,Economic,The employees are not represented by a union.,Plant Closing
2021,2/21/2018,Plant Closing,"Geritrex, LLC","144 E Kingsbridge Road Mount Vernon, NY 10550",Westchester County,(914) 668-4003 Ext,Manufacturer and distributor of Over the Counter generic creams and lotions,26,26,Separations,"The Mount Vernon lease is expiring and the entire operations are being
relocated to Middletown, NY.",The employees are not represented by a union.,Plant Closing
2022,5/20/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street, Rouses Point Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),2,58,The,Economic,Local 95c ICWU/UFCW,Plant Closing
2023,5/15/2018,Plant Closing,"Center for Nursing & Rehabilitation, Inc. (CNR)","520 Prospect Place Brooklyn, NY 11238",Kings County,(347) 920-7277,Rehabilitation center,305,305,The,The purchaser intends to continue the facility's operations and will be offering employment to substantially all employees employed at CNR,1199 SEIU United Healthcare Workers East,Plant Closing
2024,5/11/2018,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,31,1423,This,Economic,"Local 406, Graphic Communications Conference, International Brotherhood of Teamsters",Plant Unit Closing
2025,5/11/2018,Plant Closing,"Conduent Education Services, LLC","501 Bleecker St. Utica, NY 13501",Oneida County,(915) 775-3069,Educational Services,8,162,This,Change in business needs,The employees are not represented by a union.,Plant Closing
2026,2/28/2018,Plant Closing,VWR (Part of Avantor),"3 Lincoln Boulevard Rouses Point, NY 12979",Clinton County,(440) 914-3469,Manufacturing and supply chain solutions for the Life Sciences and Advanced Technology Industries,26,26,Separations,Consolidate production and all other functions into their Solon facility in Ohio.,The affected workers are not represented by a union.,Plant Closing
2027,5/7/2018,Plant Closing,Sterling National Bank,"718 Medford Avenue Patchogue, NY 11172",Suffolk County,(516) 327-7624,Financial Institution,1,8,8/7/2018,Acquisition of Astoria Bank by Sterling National,The employees are not represented by a union.,Plant Closing
2028,5/7/2018,Plant Closing,Aptos Inc.,"15 Governor Drive Newburgh, NY 12550",Orange County,(845) 926-4226,Software developers,3,117,This,Economic,The employees are not represented by a union.,Plant Closing
2029,5/7/2018,Plant Closing,"Forty Six O Seven Co., Inc. (IHOP #4607)","73-01 Northern Blvd Jackson Heights, NY 11372",Queens County,(661) 294-8877,Restaurant,53,53,8/30/2018,Not renewing its Lease or Franchise Agreement,UNITE HERE Local 100,Plant Closing
2030,5/9/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street, Rouses Point Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),2,58,The,Economic,The employees are not represented by a union.,Plant Closing
2031,3/16/2018,Plant Closing,Gannett Publishing Services,"10 Gannett Drive Johnson City, NY 13790",Broome County,(856) 486-2591,Commercial Printing,93,93,The,Economic,The affected  workers are not represented by a union.,Plant Closing
2032,3/9/2018,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,162,1423,This,Economic,"Local 406, Graphic Communications Conference,  International Brotherhood of Teamsters",Plant Unit Closing
2033,5/3/2018,Plant Closing,Sears Full Line Store (Unit  #01514),"6929 Williams Rd Niagara Falls, NY 14304",Niagara County,(724) 601-9321,Retail store,42,42,7/29/2018,Economic,The employees  are not represented by a union.,Plant Closing
2034,5/2/2018,Plant Layoff,Sterling National Bank,"711 Franklin Avenue Franklin Square, NY 11010",Nassau County,(516) 327-7624,Financial Institution,1,6,7/31/2018,Acquisition of Astoria Bank by Sterling  National,The employees  are not represented by a union.,Plant Layoff
2035,8/21/2017,Plant Closing,B&H Foto and Electronics  Corp. (Navy Yard Facility),"63 Flushing Avenue, Bldg. 64 Brooklyn, NY 11205",Kings County,(212) 239-7500,Photo and electronics,195,195,Separations,"Relocation to Florence, New Jersey.",United Steelworkers District 4,Plant Closing
2036,4/30/2018,Plant Closing,Trans-Packers Services Corp.,"419-429 Vandervoort Avenue Brooklyn, NY 11222",Brooklyn County,(718) 963-0900,A food packing company,105,105,7/31/2018,"Relocating to a new facility in  Piscataway, NJ. All employees have been offered comparable positions in the new  Piscataway, NJ facility.",UFCW Local 312,Plant Closing
2037,5/1/2018,Plant Closing,"Triangle Aviation Services, Inc.","(at JFK Airport, Terminal 8 -  LATAM Airline Group) John F. Kennedy Airport,  Terminal 8 Jamaica, NY 11430",Queens County,(516) 821-1202,Perform ramp and cabin cleaning services,85,85,8/1/2018,Loss of contract with LATAM Airline Group,TWU Local 504,Plant Closing
2038,4/26/2018,Plant Closing,Airline Service Professionals  LLC,"(at the JFK International  Airport for Jet Blue) Building 81 South Cargo Road Jamaica, NY 11430",Queens County,(718) 751-7010,Ground handling airline services,236,236,7/27/2018,Contractual loss with Jet Blue,The employees  are not represented by a union.,Plant Closing
2039,4/30/2018,Plant Closing,"Nypro Inc., a Jabil Inc. Company","100 Indigo Creek Rochester, NY 14626",Monroe County,(585) 453-3733,Global manufacturing services company.,53,53,The,Changing business needs,The employees are not represented by a union.,Plant Closing
2040,5/1/2018,Plant Closing,Aptos Inc.,"15 Governor Drive Newburgh, NY 12550",Orange County,(845) 926-4226,Software developers,6,117,This,Economic,The employees are not represented by a union.,Plant Closing
2041,5/1/2018,Plant Closing,"Harbor Footwear Group, Ltd.","55 Harbor Park Drive Port Washington, NY 11050",Nassau County,(212) 500-1563,"Footwear Merchant, Wholesaler",53,53,7/31/2018,Economic,The employees are not represented by a union.,Plant Closing
2042,5/2/2018,Layoff,VNS CHOICE dba VNSNY CHOICE,"Medicare Advantage Sales Department 1250 Broadway New York, NY 10001",New York County,(212) 609-7880,"Insures care for the poor, the chronically ill and the elderly",43,289,7/30/2018,Economic,The employees are not represented by a union.,Layoff
2043,4/25/2018,Plant Closing,Umami Burgerat the Hudson Hotel,"358 West 58th Street New York, NY 10019",New York County,(212) 957-8000,Food services,71,71,7/24/2018,Economic,"New York Hotel & Motel Trades Council, AFL-CIO Local 6 affiliated with UNITE HERE",Plant Closing
2044,4/27/2018,Plant Closing,"Conduent Education Services, LLC","501 Bleecker St. Utica, NY 13501",Oneida County,(915) 775-3069,Educational Services,25,126,This,Change in business needs,The employees are not represented by a union.,Plant Closing
2045,4/27/2018,Plant Unit Closings,"Citizen Watch Company of America, Inc.","(Credit/Accounts Receivable, Customer Relations, and Finance Operating Units) 350 Fifth Avenue, 29th Floor New York, NY 10118",New York County,(212) 497-9795,"Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",29,148,The,Economic,The employees are not represented by a union.,Plant Unit Closings
2046,4/24/2018,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",Monroe County,(585) 724-7080,Photographic equipment and Supplies,7,,7/22/2018,Economic,The employees are not represented by a union.,Plant Layoff
2047,4/20/2018,Plant Closing,Easter Seals New York,"(Intermediate Care Facilities at 4 Kessler Centers) 302 Daley Blvd Rochester, NY 14617",Rochester County,(212) 727-4345,Helps people with disabilities with therapy,22,78,7/20/2018,Economic,"Local 86, International Brotherhood of Electrical Workers",Plant Closing
2048,4/6/2018,Plant Closing,1 BB Food and Drink Corp.,"(1 Hotel Brooklyn, Bridge) 60 Furman Street Brooklyn, NY 11201",Kings County,(347) 696-2503,Provide food services,144,144,5/10/2018,Contract expired,The affected workers are not represented by a union.,Plant Closing
2049,4/23/2018,Plant Layoff,"Association for Neurologically Impaired Brain Injured Children, Inc. (ANIBIC)","61-35 220th Street Oakland Gardens, NY 11364",Queens County,(347) 594-2130,Provide Medicaid Service Coordination (MCS) to individuals with disabilities,25,,6/30/2018,"Transition of Office of People with Developmental Disabilities (OPWDD) MCS services to Care Coordination Organization, Care Design NY (CDNY). All ANIBIC affected employees have been offered and accepted employment with CDNY effective July 1, 2018.",The employees are not represented by a union.,Plant Layoff
2050,4/17/2018,Plant Closing,Synaptics Incorporated,"90 Linden Oaks Rochester, NY 14625",Monroe County,(408) 904-2741,Developer of human interface hardware and software.,40,40,7/20/2018,Economic,The employees are not represented by a union.,Plant Closing
2051,3/30/2018,Plant Closing,The Mandell School,"West Village, 160 Christopher Street New York, NY 10014",New York County,(212) 786-7945,Pre-School,14,58,The,Economic,The affected employees are not represented by a union.,Plant Closing
2052,4/24/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),5,59,The,Economic,Local 95c ICWU/UFCW,Plant Closing
2053,4/23/2018,Plant Closing,Sterling National Bank – Port Washington Financial Center,"110 Main Street Port Washnington, NY 11050",Nassau County,(516) 327-7624,Financial Institution,1,4,The,Acquisition of Astoria Bank by Sterling National Bank,The affected employees are not represented by a union.,Plant Closing
2054,4/9/2018,Plant Layoff,Barclays Services Corp.,"(Chief Operating Office teams) 745 Seventh Avenue New York, NY 10019",New York County,(212) 526-5862,Banking,112,,The,"Relocation of a number of the Chief Operating Office teams to Whippany, New Jersey.",The affected workers are not represented by a union.,Plant Layoff
2055,3/29/2018,Plant Closing,New Hope Academy Charter School,"475 E 57th Street Brooklyn, NY 11203",Kings County,(212) 786-7945,School,42,42,The,Economic,The affected  workers are not represented by a union.,Plant Closing
2056,4/17/2018,Plant Layoff,Phoenix House Foundation,"42-50 Jay Street Brooklyn, NY 11201",Kings County,(718) 222-6649,Addiction treatment center,30,,The,Economic,The affected workers are not represented by a union.,Plant Layoff
2057,4/17/2018,Plant Closing,"Medical Transportation Management, Inc. (Call Center)","882 Third Avenue, 11th Floor Brooklyn, NY 11232",Kings County,(636) 695-5683,Call Center arranging transportation services under contracts with various health care providers and health insurance companies.,57,57,7/25/2018,Economic,United Construction Trades & Industrial Employees (UCTIE) Local 621,Plant Closing
2058,4/12/2018,Plant Closing,Sears Full Line Strore (Unit #01524),"317 Greece Ridge Center Drive Rochester, NY 14626",Monroe County,(724) 601-9321,Retail Store,50,50,Separations,Economic,The affected workers are not represented by a union.,Plant Closing
2059,4/16/2018,Plant Closing,Sterling National Bank - Penn Plaza Financial Center,"7 Penn Plaza New York, NY 10001",New York County,(516) 327-7624,Financial Institution,1,,The,Acquisition of Astoria Bank by Sterling National Bank,The affected workers are not represented by a union.,Plant Closing
2060,4/16/2018,Plant Closing,Express Mart Franchising Corporation (Office),"7401 Round Pond Road Syracuse, NY 13212",Onondaga County,(315) 446-0125 Ext,Convenience Store,53,53,It,Sale of company’s assets to Speedway.,The affected workers are not represented by a union. Non Union.,Plant Closing
2061,4/5/2018,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-7080,Photographic equipment and Supplies,1,,7/3/2018,Economic,The affected worker is not represented by a union.,Plant Layoff
2062,4/6/2018,Plant Closing,"MZL Home Care Agency, LLC","1819 East 13th Street Brooklyn, NY 11229",Kings County,(718) 575-9090 Ext,Home care field operations,1535,1535,7/15/2018,Sale of certain assets to Allen Health Services.,UFCW Local 2013,Plant Closing
2063,12/6/2017,Plant Closing,Sanmina Corporation,"1200 Taylor Road Owego, NY 13827",Tioga County,(714) 913-2204,Manufacturer of printed circuit boards,163,163,Twenty-five,Economic,The affected workers are not represented by a union.,Plant Closing
2064,4/3/2018,Plant Layoff,Eastman Kodak Company (Kodak  Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-7080,Photographic equipment and Supplies,1,,7/1/2018,Economic,The affected  worker is not represented by a union.,Plant Layoff
2065,4/4/2018,Plant Layoff,"Aspire of WNY, Inc.","2495 Main Street Buffalo, NY 14214",Erie County,(716) 505-5610,Provides services to developmentally disabled individuals of all ages.,42,,6/29/2018,"Transition of services to Person Centered Services Care Coordination Organization (PCS).Affected Aspire employees were offered employment with PCS to commence on
July 2, 2018.No employment losses are expected to result from this transition.",The affected workers are not represented by a union.,Plant Layoff
2066,4/16/2018,Plant Closing,The Neiman Marcus Group LLC Last Call,"Woodbury Commons, 934 Adirondack Way Central Valley, NY 10917",Orange County,(214) 573-5338,Clothing and accessories retail store,40,40,The,Economic,The affected workers are not represented by a union.,Plant Closing
2067,4/13/2018,Plant Closing,CookiesKids.com Inc. (Distribution Facility),"265 Livingston Street Brooklyn, NY 11217",Kings County,(718) 797-3300,Children's Clothing and accessories,68,68,Layoffs,Economic,The affected workers are not represented by a union.,Plant Closing
2068,4/12/2018,Plant Closing,Heidenhain Corporation,"One Precision Way, Mason  Industrial Park Jamestown, NY 14701",Chautauqua County,(716) 661-1761,Manufacturing (Optics and Electronics Precision Graduations),39,39,10/1/2018,"Transfer of operations to Schaumburg, IL  or Tarsdorf, Austria.",The affected  workers are not represented by a union.,Plant Closing
2069,4/9/2018,Plant Layoff,Barclays Services Corp.,"(Chief Operating Office teams) 745 Seventh Avenue New York, NY 10019",New York County,(212) 526-5862,Banking,440,,The,"Relocation of a number of the Chief Operating Office teams to Whippany, New Jersey.",The affected workers are not represented by a union.,Plant Layoff
2070,4/9/2018,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,12,1423,This,Economic,"Local 406, Graphic Communications Conference, International Brotherhood of Teamsters",Plant Unit Closing
2071,4/6/2018,Plant Closing,1 BB Food and Drink Corp.,"(1 Hotel Brooklyn, Bridge) 60 Furman Street Brooklyn, NY 11201",Kings County,(347) 696-2503,Provide food services,126,126,7/11/2018,Contract expired,The affected workers are not represented by a union.,Plant Closing
2072,4/9/2018,Plant Closing,"Mattel, Inc.","675 Avenue of the Americas New York, NY 10010",New York County,(716) 687-3670,Toy manufacturing company,143,143,The,Economic,The affected  workers are not represented by a union.,Plant Closing
2073,4/6/2018,Plant Closing,"Nine West Holdings, Inc.","1411 Broadway New York, NY 10018",New York County,(212) 536-9505,Wholesale footwear and handbag assets,203,203,The,Economic,The affected workers are not represented by a union.,Plant Closing
2074,4/4/2018,Plant Closing,Prompt Direct Inc.,"66 Willow Avenue Staten Island, NY 10305",New York County,(718) 447-6206 Ext,Marketing agency,49,49,The,Economic,The affected  workers are not represented by a union.,Plant Closing
